|V|*|E| Time
36760785 11.1424059868
5535204 0.564946174622
77921875 10.8348419666
91358208 13.2403328419
2777710 0.488682985306
54522531 6.70824098587
20021301 2.48912787437
51532800 4.55363512039
7134021 0.848782062531
9414549 0.738503932953
2615157 0.393659114838
38690 0.00640416145325
14465553 3.93172001839
10052984 0.935655832291
21132444 5.63462996483
1873044 0.213918924332
464140 0.118825912476
986580 0.168761968613
10301250 1.26819205284
16948022 3.99440217018
29498106 5.05130815506
17030992 2.48068904877
5415760 0.515069007874
25750260 3.30655789375
78275314 10.0188319683
9201438 1.21223497391
820038 0.1899330616
3538 0.000510931015015
70514046 10.2707390785
64882566 14.2133150101
5859490 1.05133700371
6485175 1.15266513824
41107506 4.97700881958
19239500 3.32553505898
38976606 6.34545516968
